ligne_id,heure,nb_passagers
L01,5,1
L01,5,1
L01,5,1
L01,5,5
L01,5,1
L01,5,2
L01,5,4
L01,5,3
L01,5,6
L01,5,3
L01,5,2
L01,5,4
L01,5,1
L01,5,5
L01,5,2
L01,6,5
L01,6,7
L01,6,4
L01,6,7
L01,6,8
L01,6,5
L01,6,9
L01,6,6
L01,6,8
L01,6,6
L01,6,5
L01,6,5
L01,6,3
L01,6,4
L01,6,9
L01,7,15
L01,7,15
L01,7,17
L01,7,15
L01,7,18
L01,7,14
L01,7,13
L01,7,17
L01,7,13
L01,7,16
L01,7,15
L01,7,18
L01,7,17
L01,7,16
L01,7,12
L01,8,21
L01,8,23
L01,8,26
L01,8,21
L01,8,23
L01,8,21
L01,8,22
L01,8,21
L01,8,23
L01,8,24
L01,8,22
L01,8,25
L01,8,21
L01,8,22
L01,8,22
L01,9,44
L01,9,46
L01,9,43
L01,9,45
L01,9,47
L01,9,42
L01,9,46
L01,9,45
L01,9,46
L01,9,45
L01,9,44
L01,9,42
L01,9,42
L01,9,42
L01,9,42
L01,10,51
L01,10,51
L01,10,53
L01,10,55
L01,10,55
L01,10,55
L01,10,51
L01,10,55
L01,10,51
L01,10,51
L01,10,52
L01,10,54
L01,10,50
L01,10,51
L01,10,52
L01,11,31
L01,11,29
L01,11,29
L01,11,29
L01,11,27
L01,11,32
L01,11,32
L01,11,31
L01,11,29
L01,11,29
L01,11,28
L01,11,30
L01,11,30
L01,11,28
L01,11,32
L01,12,22
L01,12,19
L01,12,22
L01,12,22
L01,12,19
L01,12,19
L01,12,22
L01,12,18
L01,12,20
L01,12,23
L01,12,19
L01,12,21
L01,12,23
L01,12,23
L01,12,22
L01,13,18
L01,13,20
L01,13,16
L01,13,20
L01,13,17
L01,13,19
L01,13,18
L01,13,16
L01,13,19
L01,13,18
L01,13,21
L01,13,19
L01,13,17
L01,13,17
L01,13,20
L01,14,14
L01,14,16
L01,14,16
L01,14,18
L01,14,13
L01,14,16
L01,14,13
L01,14,16
L01,14,16
L01,14,16
L01,14,17
L01,14,13
L01,14,17
L01,14,14
L01,14,14
L01,15,12
L01,15,15
L01,15,12
L01,15,14
L01,15,16
L01,15,16
L01,15,13
L01,15,16
L01,15,14
L01,15,13
L01,15,16
L01,15,16
L01,15,15
L01,15,15
L01,15,15
L01,16,18
L01,16,19
L01,16,19
L01,16,16
L01,16,15
L01,16,15
L01,16,17
L01,16,18
L01,16,20
L01,16,17
L01,16,17
L01,16,18
L01,16,20
L01,16,18
L01,16,16
L01,17,25
L01,17,27
L01,17,25
L01,17,23
L01,17,22
L01,17,23
L01,17,21
L01,17,21
L01,17,23
L01,17,26
L01,17,25
L01,17,23
L01,17,26
L01,17,22
L01,17,22
L01,18,34
L01,18,36
L01,18,38
L01,18,35
L01,18,37
L01,18,38
L01,18,35
L01,18,38
L01,18,38
L01,18,35
L01,18,33
L01,18,33
L01,18,34
L01,18,35
L01,18,32
L01,19,49
L01,19,50
L01,19,49
L01,19,52
L01,19,51
L01,19,50
L01,19,51
L01,19,51
L01,19,50
L01,19,48
L01,19,51
L01,19,47
L01,19,47
L01,19,49
L01,19,49
L01,20,55
L01,20,51
L01,20,53
L01,20,54
L01,20,53
L01,20,55
L01,20,51
L01,20,51
L01,20,52
L01,20,52
L01,20,53
L01,20,51
L01,20,53
L01,20,54
L01,20,54
L01,21,20
L01,21,15
L01,21,19
L01,21,19
L01,21,20
L01,21,16
L01,21,15
L01,21,19
L01,21,19
L01,21,16
L01,21,20
L01,21,19
L01,21,18
L01,21,19
L01,21,18
L01,22,8
L01,22,6
L01,22,8
L01,22,10
L01,22,7
L01,22,7
L01,22,7
L01,22,9
L01,22,12
L01,22,10
L01,22,6
L01,22,8
L01,22,10
L01,22,6
L01,22,11
L02,5,2
L02,5,4
L02,5,5
L02,5,0
L02,5,4
L02,5,5
L02,5,5
L02,5,4
L02,5,2
L02,5,1
L02,5,0
L02,5,2
L02,5,1
L02,5,1
L02,5,5
L02,6,7
L02,6,7
L02,6,4
L02,6,3
L02,6,5
L02,6,3
L02,6,4
L02,6,6
L02,6,4
L02,6,4
L02,6,4
L02,6,7
L02,6,2
L02,6,7
L02,6,6
L02,7,13
L02,7,14
L02,7,10
L02,7,15
L02,7,12
L02,7,12
L02,7,13
L02,7,15
L02,7,11
L02,7,13
L02,7,16
L02,7,11
L02,7,14
L02,7,11
L02,7,13
L02,8,20
L02,8,21
L02,8,18
L02,8,19
L02,8,23
L02,8,19
L02,8,20
L02,8,24
L02,8,19
L02,8,21
L02,8,20
L02,8,18
L02,8,22
L02,8,21
L02,8,23
L02,9,42
L02,9,36
L02,9,39
L02,9,38
L02,9,37
L02,9,41
L02,9,36
L02,9,39
L02,9,37
L02,9,39
L02,9,37
L02,9,41
L02,9,39
L02,9,37
L02,9,41
L02,10,45
L02,10,48
L02,10,45
L02,10,49
L02,10,45
L02,10,48
L02,10,48
L02,10,47
L02,10,49
L02,10,47
L02,10,45
L02,10,47
L02,10,48
L02,10,46
L02,10,47
L02,11,23
L02,11,24
L02,11,28
L02,11,25
L02,11,24
L02,11,28
L02,11,23
L02,11,23
L02,11,23
L02,11,24
L02,11,23
L02,11,25
L02,11,25
L02,11,28
L02,11,24
L02,12,19
L02,12,17
L02,12,20
L02,12,16
L02,12,17
L02,12,16
L02,12,17
L02,12,17
L02,12,18
L02,12,21
L02,12,15
L02,12,17
L02,12,19
L02,12,20
L02,12,17
L02,13,15
L02,13,14
L02,13,15
L02,13,16
L02,13,17
L02,13,13
L02,13,14
L02,13,14
L02,13,16
L02,13,17
L02,13,13
L02,13,13
L02,13,13
L02,13,15
L02,13,17
L02,14,16
L02,14,12
L02,14,13
L02,14,15
L02,14,15
L02,14,15
L02,14,12
L02,14,14
L02,14,15
L02,14,12
L02,14,11
L02,14,16
L02,14,11
L02,14,12
L02,14,11
L02,15,15
L02,15,14
L02,15,11
L02,15,13
L02,15,13
L02,15,10
L02,15,14
L02,15,10
L02,15,12
L02,15,14
L02,15,12
L02,15,15
L02,15,15
L02,15,14
L02,15,13
L02,16,18
L02,16,14
L02,16,19
L02,16,16
L02,16,16
L02,16,18
L02,16,13
L02,16,14
L02,16,17
L02,16,13
L02,16,18
L02,16,15
L02,16,16
L02,16,19
L02,16,13
L02,17,18
L02,17,21
L02,17,22
L02,17,23
L02,17,19
L02,17,23
L02,17,22
L02,17,21
L02,17,18
L02,17,23
L02,17,19
L02,17,22
L02,17,24
L02,17,18
L02,17,20
L02,18,34
L02,18,30
L02,18,33
L02,18,33
L02,18,32
L02,18,34
L02,18,32
L02,18,29
L02,18,33
L02,18,33
L02,18,30
L02,18,29
L02,18,30
L02,18,31
L02,18,30
L02,19,47
L02,19,42
L02,19,43
L02,19,42
L02,19,46
L02,19,46
L02,19,43
L02,19,43
L02,19,46
L02,19,45
L02,19,42
L02,19,47
L02,19,46
L02,19,43
L02,19,44
L02,20,47
L02,20,48
L02,20,46
L02,20,45
L02,20,46
L02,20,44
L02,20,47
L02,20,47
L02,20,47
L02,20,44
L02,20,47
L02,20,48
L02,20,47
L02,20,46
L02,20,48
L02,21,15
L02,21,17
L02,21,13
L02,21,13
L02,21,15
L02,21,13
L02,21,14
L02,21,18
L02,21,17
L02,21,14
L02,21,13
L02,21,17
L02,21,17
L02,21,14
L02,21,16
L02,22,9
L02,22,5
L02,22,5
L02,22,5
L02,22,10
L02,22,7
L02,22,7
L02,22,5
L02,22,9
L02,22,6
L02,22,8
L02,22,7
L02,22,7
L02,22,5
L02,22,7
L03,5,7
L03,5,7
L03,5,6
L03,5,6
L03,5,5
L03,5,5
L03,5,5
L03,5,7
L03,5,5
L03,5,4
L03,5,5
L03,5,6
L03,5,4
L03,5,1
L03,5,5
L03,6,7
L03,6,6
L03,6,5
L03,6,8
L03,6,11
L03,6,8
L03,6,10
L03,6,6
L03,6,7
L03,6,11
L03,6,9
L03,6,9
L03,6,7
L03,6,9
L03,6,7
L03,7,18
L03,7,18
L03,7,18
L03,7,18
L03,7,19
L03,7,22
L03,7,20
L03,7,19
L03,7,21
L03,7,23
L03,7,19
L03,7,23
L03,7,23
L03,7,19
L03,7,17
L03,8,33
L03,8,35
L03,8,31
L03,8,31
L03,8,31
L03,8,30
L03,8,33
L03,8,31
L03,8,35
L03,8,32
L03,8,30
L03,8,33
L03,8,35
L03,8,30
L03,8,35
L03,9,61
L03,9,62
L03,9,63
L03,9,61
L03,9,60
L03,9,58
L03,9,60
L03,9,61
L03,9,59
L03,9,60
L03,9,60
L03,9,62
L03,9,59
L03,9,63
L03,9,59
L03,10,73
L03,10,72
L03,10,71
L03,10,74
L03,10,75
L03,10,70
L03,10,74
L03,10,70
L03,10,71
L03,10,75
L03,10,75
L03,10,75
L03,10,71
L03,10,74
L03,10,75
L03,11,38
L03,11,42
L03,11,42
L03,11,43
L03,11,40
L03,11,41
L03,11,42
L03,11,40
L03,11,41
L03,11,38
L03,11,37
L03,11,38
L03,11,43
L03,11,40
L03,11,42
L03,12,31
L03,12,31
L03,12,28
L03,12,27
L03,12,29
L03,12,30
L03,12,29
L03,12,25
L03,12,25
